Altitude (m),Pressure (Pa),Temperature (K)
1.770000e+04,6.328265e+03,2.166500e+02
1.775000e+04,6.279154e+03,2.166500e+02
1.780000e+04,6.230427e+03,2.166500e+02
1.785000e+04,6.182079e+03,2.166500e+02
1.790000e+04,6.134108e+03,2.166500e+02
1.795000e+04,6.086510e+03,2.166500e+02
1.800000e+04,6.039284e+03,2.166500e+02
1.805000e+04,5.992425e+03,2.166500e+02
1.810000e+04,5.945931e+03,2.166500e+02
1.815000e+04,5.899800e+03,2.166500e+02
1.820000e+04,5.854027e+03,2.166500e+02
1.825000e+04,5.808612e+03,2.166500e+02
1.830000e+04,5.763550e+03,2.166500e+02
1.835000e+04,5.718839e+03,2.166500e+02
1.840000e+04,5.674476e+03,2.166500e+02
1.845000e+04,5.630459e+03,2.166500e+02
1.850000e+04,5.586784e+03,2.166500e+02
1.855000e+04,5.543450e+03,2.166500e+02
1.860000e+04,5.500453e+03,2.166500e+02
1.865000e+04,5.457791e+03,2.166500e+02
1.870000e+04,5.415461e+03,2.166500e+02
1.875000e+04,5.373461e+03,2.166500e+02
1.880000e+04,5.331788e+03,2.166500e+02
1.885000e+04,5.290439e+03,2.166500e+02
1.890000e+04,5.249412e+03,2.166500e+02
1.895000e+04,5.208705e+03,2.166500e+02
1.900000e+04,5.168315e+03,2.166500e+02
1.905000e+04,5.128239e+03,2.166500e+02
1.910000e+04,5.088475e+03,2.166500e+02
1.915000e+04,5.049020e+03,2.166500e+02
1.920000e+04,5.009873e+03,2.166500e+02
1.925000e+04,4.971031e+03,2.166500e+02
1.930000e+04,4.932491e+03,2.166500e+02
1.935000e+04,4.894250e+03,2.166500e+02
1.940000e+04,4.856308e+03,2.166500e+02
1.945000e+04,4.818661e+03,2.166500e+02
1.950000e+04,4.781307e+03,2.166500e+02
1.955000e+04,4.744243e+03,2.166500e+02
1.960000e+04,4.707468e+03,2.166500e+02
1.965000e+04,4.670979e+03,2.166500e+02
1.970000e+04,4.634774e+03,2.166500e+02
1.975000e+04,4.598851e+03,2.166500e+02
1.980000e+04,4.563208e+03,2.166500e+02
1.985000e+04,4.527842e+03,2.166500e+02
1.990000e+04,4.492751e+03,2.166500e+02
1.995000e+04,4.457933e+03,2.166500e+02
2.000000e+04,4.423386e+03,2.166500e+02
2.005000e+04,4.392288e+03,2.167000e+02
2.010000e+04,4.361424e+03,2.167500e+02
2.015000e+04,4.330792e+03,2.168000e+02
2.020000e+04,4.300390e+03,2.168500e+02
2.025000e+04,4.270216e+03,2.169000e+02
2.030000e+04,4.240269e+03,2.169500e+02
2.035000e+04,4.210547e+03,2.170000e+02
2.040000e+04,4.181047e+03,2.170500e+02
2.045000e+04,4.151769e+03,2.171000e+02
2.050000e+04,4.122710e+03,2.171500e+02
2.055000e+04,4.093869e+03,2.172000e+02
2.060000e+04,4.065243e+03,2.172500e+02
2.065000e+04,4.036832e+03,2.173000e+02
2.070000e+04,4.008633e+03,2.173500e+02
2.075000e+04,3.980645e+03,2.174000e+02
2.080000e+04,3.952866e+03,2.174500e+02
2.085000e+04,3.925295e+03,2.175000e+02
2.090000e+04,3.897929e+03,2.175500e+02
2.095000e+04,3.870767e+03,2.176000e+02
2.100000e+04,3.843808e+03,2.176500e+02
2.105000e+04,3.817050e+03,2.177000e+02
2.110000e+04,3.790492e+03,2.177500e+02
2.115000e+04,3.764131e+03,2.178000e+02
2.120000e+04,3.737966e+03,2.178500e+02
2.125000e+04,3.711996e+03,2.179000e+02
2.130000e+04,3.686219e+03,2.179500e+02
2.135000e+04,3.660634e+03,2.180000e+02
2.140000e+04,3.635239e+03,2.180500e+02
2.145000e+04,3.610032e+03,2.181000e+02
2.150000e+04,3.585012e+03,2.181500e+02
2.155000e+04,3.560178e+03,2.182000e+02
2.160000e+04,3.535528e+03,2.182500e+02
2.165000e+04,3.511061e+03,2.183000e+02
2.170000e+04,3.486775e+03,2.183500e+02
2.175000e+04,3.462669e+03,2.184000e+02
2.180000e+04,3.438742e+03,2.184500e+02
2.185000e+04,3.414991e+03,2.185000e+02
2.190000e+04,3.391416e+03,2.185500e+02
2.195000e+04,3.368015e+03,2.186000e+02
2.200000e+04,3.344787e+03,2.186500e+02
2.205000e+04,3.321731e+03,2.187000e+02
2.210000e+04,3.298844e+03,2.187500e+02
2.215000e+04,3.276127e+03,2.188000e+02
2.220000e+04,3.253577e+03,2.188500e+02
2.225000e+04,3.231193e+03,2.189000e+02
2.230000e+04,3.208974e+03,2.189500e+02
2.235000e+04,3.186919e+03,2.190000e+02
2.240000e+04,3.165026e+03,2.190500e+02
2.245000e+04,3.143294e+03,2.191000e+02
2.250000e+04,3.121722e+03,2.191500e+02
2.255000e+04,3.100308e+03,2.192000e+02
2.260000e+04,3.079052e+03,2.192500e+02
2.265000e+04,3.057951e+03,2.193000e+02
2.270000e+04,3.037006e+03,2.193500e+02
